File date stamp,date,Source,mjd,Frequency,log_freq,Flux density,BW,Tcal LCP from file,Tcal RCP from file,focus,Tambient,Humidity,PWV,HA scan2,zenith angle,atmos tau 10GHz SKA,atmos tau 15GHz Meeks,mean atmos correction,Tsys LCP,dTsys LCP,Tsys RCP,dTsys RCP,Ta N lcp,Ta S lcp,Ta On lcp,Pointing,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N rcp,Ta S rcp,Ta On rcp,Pointing,Ta On rcp cor,PSS rcp,Ap Eff rcp,Ap Eff av,Total PSS ,(stdev of 2)*2
2012d295_04h40m35s,,HYDRA A,56221,12218.593,4.087,5.714,400,62,68.5,4.5996,289.45,81.07,22.65,-12.34,18,0.012,0.023,1.019,78.08,0.075,79.91,0.072,bd,bd,0.356,bd,bd,bd,bd,bd,0.217,0.404,bd,bd,bd,bd,bd,bd,
2012d297_04h34m13s,,HYDRA A,56223,12218.593,4.087,5.714,400,62,68.5,4.6289,287.60,58.51,14.59,-11.96,17.77,0.010,0.019,1.016,78.05,0.078,79.42,0.086,0.397,0.167,0.512,1.070,0.556,,,0.414,0.186,0.492,1.060,0.529,5.398,0.485,0.485,5.398,
2012d300_04h21m03s,,HYDRA A,56226,12218.593,4.087,5.714,400,62,68.5,4.6191,285.10,82.09,17.51,-12.3,17.97,0.011,0.021,1.017,,,,,0.327,0.254,0.451,1.006,0.462,,,0.295,0.276,0.470,1.000,0.478,,,,,
2012d301_04h17m06s,,HYDRA A,56227,12218.593,4.087,5.714,400,62,68.5,4.6289,286.95,81.72,19.57,-12.32,17.98,0.011,0.022,1.017,79.00,0.095,80.96,0.09,0.313,0.218,0.477,1.012,0.491,5.817,0.450,0.359,0.202,0.512,1.030,0.537,5.323,0.492,0.471,5.570,0.349
2012d302_04h13m17s,,HYDRA A,56228,12218.593,4.087,5.714,400,62,68.5,4.6289,284.46,83.11,17.01,-12.28,17.96,0.011,0.020,1.017,79.97,0.095,81.96,0.088,0.306,0.247,0.490,1.004,0.500,5.713,0.458,0.294,0.262,0.478,1.001,0.486,5.873,0.446,0.452,5.793,0.113
2012d304_04h05m23s,,HYDRA A,56230,12218.593,4.087,5.714,400,62,68.5,4.6289,288.99,79.59,21.62,-12.29,17.97,0.012,0.023,1.018,,,80.26,0.099,0.335,0.235,0.490,1.011,0.504,5.668,0.462,0.303,0.199,0.454,1.016,0.470,6.078,0.431,0.447,5.873,0.290
2012d308_03h58m44s,,HYDRA A,56234,12218.593,4.087,5.714,400,62,68.5,4.6191,283.53,77.19,14.9,-10.02,16.67,0.010,0.020,1.016,76.14,0.091,79.42,0.32,0.345,0.237,0.504,1.013,0.518,5.512,0.475,0.338,0.242,0.481,1.010,0.494,5.785,0.453,0.464,5.648,0.193
2012d309_03h52m10s,,HYDRA A,56235,12218.593,4.087,5.714,400,62,68.5,4.6289,283.90,75.99,15.01,-10.68,17.03,0.010,0.020,1.016,75.79,0.112,77.4,0.083,0.322,0.243,0.501,1.007,0.512,5.580,0.469,0.359,0.220,0.475,1.022,0.493,5.789,0.452,0.461,5.685,0.148
2012d311_03h39m41s,,HYDRA A,56237,12218.593,4.087,5.714,400,62,68.5,4.6094,287.32,65.91,16.15,-11.84,17.7,0.010,0.020,1.016,75.24,0.081,76.7,0.076,0.344,0.204,0.478,1.025,0.498,5.740,0.456,0.355,0.199,0.476,1.031,0.499,5.731,0.457,0.457,5.735,0.006
2012d312_03h37m37s,,HYDRA A,56238,12218.593,4.087,5.714,400,62,68.5,4.6191,286.31,49.72,11.44,-11.37,17.42,0.010,0.018,1.014,74.95,0.084,76.28,0.069,0.333,0.198,0.464,1.025,0.482,5.925,0.442,0.356,0.221,0.501,1.021,0.519,5.509,0.475,0.459,5.717,0.295
