Date,MJD,Source,Freq,log freq,Flux density,Subref Focus,Subref tilt,HA,ZA,Atmos Abs.,Radiometer,Band width,TND lcp,TND rcp,Tsys1 LCP,dTsys1 LCP,Tsys2 RCP,dTsys2 RCP,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta On rcp cor,PSS rcp,Ap Eff rcp,Av LCP/RCP PSS,Av LCP/RCP Ap Eff
2012d293_06h37m09s, 2012-10-19,56219.274499,HYDRA A,2280,3.358,27.146,4.6094,0,14.95,19.68,1.0053,Total Power,16,16.3,15.2,,,,,2.631,,,2.564,,,,
2012d294_04h07m46s, 2012-10-20,56220.170757,Hydra A,2280,3.358,27.146,4.6191,0.0000,-21.50,24.47,1.0055, Total Power ,16,16.3,15.2,38.66,0.154,39.22,0.184,2.399,5.657,0.463,2.621,5.178,0.506,5.418,0.484
2012d295_04h04m18s, 2012-10-21,56221.168338,Hydra A,2280,3.358,27.146,4.6094,0.0000,-21.39,24.39,1.0055, Total Power ,16,16.3,15.2,39.14,0.127,39.88,0.176,2.481,5.471,0.479,2.660,5.102,0.513,5.287,0.496
2012d297_04h39m46s, 2012-10-23,56223.19297,Hydra A,2280,3.358,27.146,4.6289,0.0195,-10.53,16.95,1.0052, Total Power ,16,16.3,15.2,38.05,0.171,39.60,0.175,2.426,5.595,0.468,2.630,5.161,0.507,5.378,0.488
2012d300_03h44m00s, 2012-10-26,56226.154251,Hydra A,2280,3.358,27.146,4.6191,0.0195,-21.55,24.51,1.0055, Total Power ,16,16.3,15.2,39.21,0.155,41.87,0.191,2.398,5.660,0.463,2.550,5.322,0.492,5.491,0.477
2012d302_03h36m15s, 2012-10-28,56228.148862,Hydra A,2280,3.358,27.146,4.6289,0.0195,-21.52,24.49,1.0055, Total Power ,16,16.3,15.2,38.00,0.214,40.70,0.198,2.388,5.684,0.461,2.526,5.373,0.488,5.528,0.474
2012d303_05h21m23s, 2012-10-29,56229.221875,Hydra A,2280,3.358,27.146,4.6289,0.0000,5.82,14.79,1.0052, Total Power ,16,16.3,15.2,38.24,0.204,37.79,0.191,2.429,5.588,0.469,2.610,5.200,0.504,5.394,0.486
2012d304_03h33m13s, 2012-10-30,56230.146757,Hydra A,2280,3.358,27.146,4.6289,0.0000,-20.31,23.55,1.0055, Total Power ,16,16.3,15.2,38.17,0.166,37.58,0.206,2.422,5.604,0.467,2.620,5.180,0.506,5.392,0.487
2012d308_03h30m17s, 2012-11-03,56234.144715,Hydra A,2280,3.358,27.146,4.6191,0.0000,-17.11,21.18,1.0054, Total Power ,16,16.3,15.2,37.87,0.131,37.34,0.124,2.441,5.560,0.471,2.645,5.132,0.510,5.346,0.491
2012d311_03h03m26s, 2012-11-06,56237.126081,Hydra A,2280,3.358,27.146,4.6094,0.0000,-20.88,23.99,1.0055, Total Power ,16,16.3,15.2,38.95,0.148,38.65,0.154,2.463,5.512,0.475,2.666,5.091,0.515,5.301,0.495
2012d312_03h01m32s, 2012-11-07,56238.124757,HYDRA A,2280,3.358,27.146,4.6191,0,-20.3,23.6,1.0055,Total Power,16,16.3,15.2,38.66,0.158,,,2.452,5.535,0.473,2.926,,,5.535,0.473
2012d313_02h59m33s, 2012-11-08,56239.123377,Hydra A,2280,3.358,27.146,4.6289,0.0000,-19.88,23.22,1.0055, Total Power ,16,16.3,15.2,38.5,0.167,38.63,0.202,2.417,5.615,0.466,2.590,5.240,0.500,5.428,0.483
2012d315_04h14m23s, 2012-11-10,56241.17534,Hydra A,2280,3.358,27.146,4.6191,0.0000,0.85,13.76,1.0052, Total Power ,16,16.3,15.2,38.47,0.178,39.94,0.194,2.449,5.543,0.473,2.563,5.295,0.495,5.419,0.484
2012d316_02h55m26s, 2012-11-11,56242.120511,Hydra A,2280,3.358,27.146,4.6191,0.0000,-17.96,21.8,1.0054, Total Power ,16,16.3,15.2,38.08,0.138,38.18,0.156,2.419,5.611,0.467,2.607,5.206,0.503,5.409,0.485
2012d318_02h45m50s, 2012-11-13,56244.113852,Hydra A,2280,3.358,27.146,4.6289,0.0000,-18.39,22.11,1.0054, Total Power ,16,16.3,15.2,38.97,0.172,40.44,0.199,2.443,5.556,0.471,2.548,5.327,0.492,5.441,0.482
2012d322_02h31m38s, 2012-11-17,56248.103994,HYDRA A,2280,3.358,27.146,4.6094,0.0000,-18.01,21.83,1.0054,Total Power,16,16.3,15.2,38.25,0.224,41.41,0.244,2.472,5.491,0.477,2.622,5.176,0.506,5.333,0.492
2012d323_02h26m56s, 2012-11-18,56249.10073,HYDRA A,2280,3.358,27.146,4.6191,0.0000,-18.2,21.97,1.0054,Total Power,16,16.3,15.2,38.99,0.139,39.31,0.153,2.456,5.527,0.474,2.649,5.124,0.511,5.326,0.493
2012d324_02h27m49s, 2012-11-19,56250.101347,HYDRA A,2280,3.358,27.146,4.6191,0.0000,-17,21.1,1.0054,Total Power,16,16.3,15.2,38.61,0.191,38.39,0.237,2.418,5.614,0.467,2.631,5.159,0.508,5.387,0.487
2012d326_02h14m47s, 2012-11-21,56252.092302,HYDRA A,2280,3.358,27.146,4.6289,-0.0195,-18.29,22.03,1.0054,Total Power,16,16.3,15.2,39,0.13,38.58,0.141,2.508,5.412,0.484,2.653,5.116,0.512,5.264,0.498
2012d327_02h01m09s, 2012-11-22,56253.082828,HYDRA A,2280,3.358,27.146,4.6289,-0.0195,-20.72,23.87,1.0055,Total Power,16,16.3,15.2,38.42,0.194,38.74,0.209,2.431,5.583,0.469,2.601,5.219,0.502,5.401,0.486
