YMD,Date,MJD,Source,Centre Freq,log freq,Flux density,Subref. Focus,Hour Angle (2nd scan),Zenith Angle,sec Z,X(Z),Dry Atmos,Tamb,Rel. Humidity,PWV est,8.4GHz Zenith Tau @ 1400m,absorption at ZA,Radiometer,TND lcp,TND rcp,Tsys1 lcp,dTsys lcp,Tsys2 rcp,dTsys rcp,Ta N lcp,Ta S lcp,Ta On lcp,Pointing Corr,Ta On lcp cor,PSS B lcp,Ap Eff B lcp,Ta N lcp,Ta S lcp,Ta On lcp,Point corr,Ta On lcp cor,PSS A lcp,Ap Eff A lcp,Ta N rcp,Ta S rcp,Ta On rcp,Point Corr,Ta On rcp cor,PSS B rcp,Ap Eff B rcp,Ta N rcp,Ta S rcp,Ta On rcp,Point corr,Ta On rcp cor,PSS A rcp,Ap Eff A rcp
2012d279_05h45m02s,,56205,Hydra A,8280,3.918,8.177,4.589844,-12.619,18.169,1,0.999,1.00823,292,38.35,12.53,0.008356,1.00839,Dicke Switc,17.1,17,52.2,,58.01,,-0.337,-0.255,-0.595,1.007,0.599,6.823,0.384,0.346,0.264,0.604,1.007,0.608,6.727,0.389,-0.323,-0.28,-0.634,1.002,0.636,,,0.405,0.261,0.573,1.018,0.583,7.014,0.373
2012d280_05h53m10s,,56206,Hydra A,8280,3.918,8.177,4.589844,-9.597,16.448,1,0.999,1.00823,292.9,61.1,20.99,0.009879,1.00992,Dicke Switc,17.1,17,52.44,,58.41,,-0.366,-0.233,-0.591,1.019,0.601,6.797,0.385,0.371,0.252,0.614,1.014,0.622,6.571,0.399,-0.337,bad,-0.533,1.02,0.544,,,0.427,bad,0.637,1.031,0.657,,
2012d281_05h35m55s,,56207,Hydra A,8280,3.918,8.177,4.589844,-12.943,18.37,1,0.999,1.00823,293.4,38.07,13.52,0.008534,1.00856,Dicke Switc,17.1,17,52.18,,58.25,,-0.387,-0.197,-0.569,1.042,0.593,6.9,0.38,0.397,0.224,0.589,1.03,0.607,6.736,0.389,-0.423,-0.24,-0.57,1.029,0.587,6.965,0.376,0.372,0.199,0.547,1.036,0.567,,
2012d282_05h46m20s,,56208,Hydra A,8280,3.918,8.177,4.609375,-9.346,16.319,1,0.999,1.00823,293.3,42.23,14.92,0.008785,1.00882,Dicke Switc,17.1,17,52.23,,57.58,,-0.406,-0.219,-0.578,1.035,0.598,6.837,0.383,0.403,0.205,0.588,1.042,0.613,6.67,0.393,-0.408,BAD,-0.581,1.042,0.605,,,0.38,0.187,0.577,1.046,0.604,6.766,0.387
2012d283_05h32m00s,,56209,Hydra A,8280,3.918,8.177,4.609375,-11.985,17.783,1,0.999,1.00823,289.1,80.42,21.97,0.010054,1.0101,Dicke Switc,17.1,17,52.93,,58.66,,-0.326,-0.263,-0.578,1.004,0.58,7.046,0.372,0.339,0.268,0.596,1.005,0.599,6.828,0.384,-0.336,-0.263,-0.582,1.005,0.585,6.987,0.375,0.33,0.262,0.545,1.005,0.548,,
2012d284_05h25m30s,,56210,Hydra A,8280,3.918,8.177,4.628906,-12.586,18.148,1,0.999,1.00823,290.1,78.57,22.84,0.010211,1.01026,Dicke Switc,17.1,17,,,,,-0.331,-0.245,-0.565,1.008,0.57,,,0.325,0.278,0.59,1.002,0.591,,,-0.303,-0.258,-0.573,1.002,0.575,,,0.316,0.265,0.559,1.003,0.56,,
2012d287_05h09m59s,,56213,Hydra A,8280,3.918,8.177,4.628906,-13.515,18.732,1,0.999,1.00823,286,82.83,18.72,0.00947,1.00951,Dicke Switc,17.1,17,51.92,,57.64,,-0.336,-0.268,-0.586,1.005,0.589,6.94,0.377,0.337,0.283,0.603,1.003,0.605,6.76,0.387,-0.3,-0.273,-0.564,1.001,0.565,,,0.333,0.29,0.573,1.002,0.574,,
2012d288_05h11m39s,,56214,Hydra A,8280,3.918,8.177,4.609375,-12.114,17.86,1,0.999,1.00823,287.2,81.53,19.87,0.009676,1.00972,Dicke Switc,17.1,17,51.9,,57.48,,-0.333,-0.279,-0.576,1.003,0.578,7.075,0.37,0.327,0.286,0.594,1.002,0.595,6.866,0.381,-0.321,-0.283,-0.582,1.001,0.582,7.02,0.373,0.309,0.271,0.557,1.002,0.558,,
2012d289_05h21m02s,,56215,Hydra A,8280,3.918,8.177,4.619141,-8.777,16.036,1,0.999,1.00823,287.7,81.63,20.47,0.009784,1.00983,Dicke Switc,17.1,17,51.6,,57.43,,-0.325,-0.256,-0.587,1.005,0.59,6.926,0.378,0.333,0.278,0.605,1.003,0.606,6.741,0.389,-0.32,-0.27,-0.588,1.003,0.59,6.93,0.378,0.321,0.249,0.585,1.006,0.589,6.945,0.377
2012d308_03h52m46s,,56234,Hydra A,8280,3.918,8.177,4.6191,-12.18,17.9,1,0.999,1.00823,283.5,77,14.86,0.008775,1.00881,Dicke Switc,17.1,17,49.42,,47.9,,-0.319,-0.277,-0.595,1.002,0.596,6.863,0.382,0.316,0.313,0.59,1,0.59,,,-0.297,-0.284,-0.587,1,0.587,6.959,0.376,0.324,0.295,0.606,1.001,0.606,6.746,0.388
