DATE,YMD,MJD,Source,Centre Freq,Log freq,Ott Flux density,Focus,HA,ZA,sec Z,X(Z),Dry Atmos transmission,Tamb,Humidity,PWV est,5GHz Zenith Tau @ 1400m,absorption at ZA,Radiometer,TND lcp,TND rcp,Tsys lcp,dTsys lcp,Tsys rcp,dTsys rcp,Ta N lcp,Ta S lcp,Ta On lcp,Pnt Corr.,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N lcp,Ta S lcp,Ta On lcp,Pnt Corr.,Ta On lcp cor,PSS lcp,Ap Eff lcp,Ta N rcp,Ta S rcp,Ta On rcp,Pnt Corr.,Ta On rcp cor,PSS rcp,Ap Eff rcp,Ta N rcp,Ta S rcp,Ta On rcp,Pnt Corr.,Ta On rcp cor,PSS rcp,Ap Eff rcp
2012d293_06h49m23s,,56219.2807, HYDRA A ,4800,3.681,13.549,4.609,17.04,21.13,1.072,1.071,0.9995,295.55,49.44,19.91,0.00816,1.00878, Dicke Switched ,6.3,6,51.54,0.495,57.14,0.24,-0.637,-0.415,-1.085,1.017,1.112,6.09,0.43,0.65,0.372,1.032,1.028,1.07,6.33,0.414,-0.63,-0.429,-1.027,1.013,1.05,6.451,0.406,0.61,0.338,0.952,1.032,0.991,6.833,0.383
2012d294_04h20m00s,,56220.1769, HYDRA A ,4800,3.681,13.549,4.609,-19.43,22.88,1.085,1.085,0.9994,283.07,40.57,7.6,0.00671,1.0073, Dicke Switched ,6.3,6,50.99,0.52,57.55,0.393,-0.545,-0.478,-1.086,1.002,1.096,6.182,0.424,0.587,0.455,1.065,1.006,1.079,6.28,0.417,-0.548,-0.474,-1.018,1.002,1.028,6.592,0.397,0.564,0.419,0.995,1.008,1.01,6.707,0.391
2012d295_04h16m38s,,56221.1746, HYDRA A ,4800,3.681,13.549,4.6,-19.29,22.78,1.085,1.084,0.9994,289.54,81.26,22.83,0.0085,1.00926, Dicke Switched ,6.3,6,51.9,0.513,57.86,0.436,-0.536,-0.481,-1.093,1.001,1.104,6.137,0.427,0.579,0.472,1.081,1.004,1.095,6.185,0.424,-0.535,-0.487,-1.03,1.001,1.04,6.514,0.402,0.555,0.452,1.024,1.004,1.038,6.528,0.401
2012d297_04h52m00s,,56223.1991, HYDRA A ,4800,3.681,13.549,4.619,-8.45,15.88,1.04,1.039,0.9997,287.69,55.83,14,0.00746,1.00778, Dicke Switched ,6.3,6,51.2,0.603,55.53,0.413,-0.627,-0.438,-1.089,1.012,1.111,6.1,0.429,0.629,0.387,1.044,1.022,1.075,6.304,0.416,-0.619,-0.456,-1.028,1.008,1.045,6.485,0.404,0.595,0.35,0.976,1.026,1.008,6.718,0.39
2012d300_03h56m17s,,56226.1605, HYDRA A ,4800,3.681,13.549,4.619,-19.46,22.9,1.086,1.085,0.9994,284.92,81.44,17.17,0.00784,1.00854, Dicke Switched ,6.3,6,,,,,-0.501,-0.494,-1.045,1,1.054,,,0.531,0.466,1.019,1.002,1.029,,,-0.504,-0.507,-1.022,1,1.031,,,0.507,0.45,0.95,1.001,0.959,,
2012d302_03h48m28s,,56228.155, HYDRA A ,4800,3.681,13.549,4.629,-19.44,22.89,1.085,1.085,0.9994,284.09,82.74,16.54,0.00776,1.00846, Dicke Switched ,6.3,6,52.49,0.597,55.45,0.309,-0.517,-0.501,-1.093,1,1.102,6.147,0.426,0.552,0.482,1.068,1.002,1.078,6.281,0.417,-0.518,-0.491,-1.042,1,1.051,6.447,0.406,0.51,0.446,0.985,1.002,0.995,6.808,0.385
2012d303_05h33m39s,,56229.2281, HYDRA A ,4800,3.681,13.549,4.629,7.91,15.63,1.038,1.038,0.9997,288.34,82.09,21.42,0.00834,1.00869, Dicke Switched ,6.3,6,52.1,0.511,55.14,0.365,-0.536,-0.496,-1.106,1.001,1.116,6.071,0.431,0.572,0.474,1.074,1.003,1.086,6.235,0.42,-0.522,-0.474,-0.983,1.001,0.992,,,0.544,0.409,0.973,1.007,0.988,6.854,0.382
2012d304_03h51m18s,,56230.157, HYDRA A ,4800,3.681,13.549,4.629,-16.77,20.94,1.071,1.07,0.9995,288.8,79.68,21.4,0.00833,1.00896, Dicke Switched ,6.3,6,52.39,0.644,54.95,0.258,-0.571,-0.469,-1.108,1.003,1.121,6.041,0.434,0.605,0.434,1.071,1.01,1.092,6.206,0.422,-0.558,-0.456,-1.038,1.004,1.051,6.443,0.407,0.561,0.386,0.978,1.025,1.011,6.698,0.391
2012d308_03h42m36s,,56234.15, HYDRA A ,4800,3.681,13.549,4.6191,-15.01,19.71,1.062,1.062,0.9996,283.53,77,14.86,0.00756,1.00806, Dicke Switched ,6.3,6,51.46,0.481,56.65,0.379,-0.613,-0.472,-1.104,1.006,1.12,6.047,0.433,0.585,0.499,1.154,1.002,1.166,,,-0.556,-0.399,-1,1.01,1.018,6.657,0.393,0.549,0.491,1.039,1.001,1.049,6.458,0.406
2012d311_03h21m30s,,56237.14, HYDRA A ,4800,3.681,13.549,4.6094,-17.35,21.35,1.074,1.073,0.9995,287.42,64.15,15.81,0.00768,1.00827, Dicke Switched ,6.3,6,52.37,0.555,56.01,0.42,-0.636,-0.475,-1.124,1.008,1.142,,,0.592,0.485,1.138,1.004,1.152,,,-0.576,-0.428,-0.998,1.008,1.015,,,0.562,0.448,1.087,1.005,1.101,,
2012d312_03h19m37s,,56238.13, HYDRA A ,4800,3.681,13.549,4.6191,-16.83,20.98,1.071,1.07,0.9995,286.31,48.43,11.14,0.00712,1.00766, Dicke Switched ,6.3,6,52.94,0.482,57.21,0.276,-0.59,-0.456,-1.084,1.006,1.099,6.164,0.425,0.579,0.452,1.111,1.006,1.126,6.016,0.435,-0.541,-0.418,-1.004,1.006,1.017,6.658,0.393,0.564,0.466,1.038,1.003,1.049,6.458,0.406
2012d313_03h17m29s,,56239.13, HYDRA A ,4800,3.681,13.549,4.6289,-16.37,20.65,1.069,1.068,0.9995,285.84,82.18,18.36,0.00798,1.00856, Dicke Switched ,6.3,6,52.09,0.675,56.15,0.428,-0.587,-0.46,-1.083,1.005,1.098,,,0.549,0.472,1.109,1.002,1.121,,,-0.541,-0.405,-0.99,1.008,1.007,,,0.535,0.467,1.042,1.002,1.053,,
2012d316_03h07m37s_,,56242.13, HYDRA A ,4800,3.681,13.549,4.6191,-15.89,20.32,1.066,1.066,0.9995,285.94,82.64,18.57,0.008,1.00856, Dicke Switched ,6.3,6,,,,,-0.627,-0.477,1.144,1.007,1.162,,,0.595,0.497,1.144,1.003,1.157,,,-0.585,-0.427,-1.012,1.009,1.03,,,0.567,0.489,1.086,1.002,1.097,,
2012d318_02h58m02s,,56244.12, HYDRA A ,4800,3.681,13.549,4.6289,-16.32,20.62,1.068,1.068,0.9995,287.05,82.55,19.88,0.00816,1.00875, Dicke Switched ,6.3,6,,,,,-0.643,-0.5,-1.161,1.006,1.178,,,0.599,0.507,1.18,1.003,1.194,,,-0.566,-0.453,-1.055,1.004,1.069,,,0.605,0.491,1.118,1.004,1.132,,
2012d322_02h43m52s,,56248.11,HYDRA A,4800,3.681,13.556,4.6094,-15.93,20.34,1.067,1.066,0.9995,286.95,81.53,19.53,0.00811,1.00869,Dicke Switc,6.3,6,52.83,0.841,57.3,0.41,-0.56,-0.495,-1.1,1.001,1.111,6.099,0.429,0.585,0.487,1.085,1.003,1.098,6.176,0.424,-0.534,-0.483,-1.021,1.001,1.031,6.575,0.398,0.546,0.437,0.982,1.004,0.995,6.815,0.384
2012d323_02h39m11s,,56249.11,HYDRA A,4800,3.681,13.556,4.6191,-16.13,20.48,1.067,1.067,0.9995,288.25,78.57,20.39,0.00822,1.0088,Dicke Switc,6.3,6,51.7,0.502,57.28,0.437,-0.539,-0.498,-1.092,1.001,1.103,6.146,0.426,0.575,0.489,1.075,1.002,1.087,6.235,0.42,-0.508,-0.504,-1.015,1,1.024,6.621,0.396,0.538,0.441,0.973,1.004,0.985,6.882,0.381
2012d324_02h40m04s,,56250.11,HYDRA A,4800,3.681,13.556,4.6191,-14.91,19.65,1.062,1.061,0.9996,286.31,81.07,18.65,0.00801,1.00854,Dicke Switc,6.3,6,53.04,0.648,57.53,0.312,-0.547,-0.484,-1.108,1.001,1.119,6.059,0.432,0.575,0.461,1.084,1.004,1.098,6.171,0.424,-0.53,-0.472,-1.029,1.001,1.04,6.52,0.402,0.527,0.411,0.981,1.006,0.995,6.81,0.385
